Component 	 CO2 	 CO2 	 CH4	N2O	SO2	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	NOx	CO	NMVOC	NH3	BMB_AEROS_BC	BMB_AEROS_OC	BC	OC 
Unit 	 Pg_C	Pg_C	Tg	Tg_N	Tg_S	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Mt_N	Mt	Mt	Mt	Tg	Tg	Tg	Tg
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	No data	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60	rcp60
1767 	 0.00300000 	 0.01067659 	 2.43644810 	 0.01011103 	 0.11653911 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01074795 	 0.00000000 	 0.16784622 	 12.96084400 	 2.29231640 	 1.06148896 	 -0.40440740 	 -1.56413329 	 0.53779000 	 2.34560100
1768 	 0.00300000 	 0.01601489 	 2.91110500 	 0.01503421 	 0.13407837 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01074382 	 0.00000000 	 0.22636620 	 16.87653900 	 2.98864780 	 1.08515184 	 -0.37893223 	 -1.35474669 	 0.53877900 	 2.35210800
1769 	 0.00300000 	 0.02135319 	 3.38727820 	 0.01995765 	 0.15170069 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01073969 	 0.00000000 	 0.28493799 	 20.79746500 	 3.68589660 	 1.10827749 	 -0.35337304 	 -1.14499360 	 0.53976600 	 2.35860500
1770 	 0.00300000 	 0.02669148 	 3.86501460 	 0.02488137 	 0.16940863 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01073555 	 0.00000000 	 0.34356319 	 24.72378200 	 4.38409090 	 1.13087481 	 -0.32772927 	 -0.93486290 	 0.54075300 	 2.36509200
1771 	 0.00400000 	 0.03202978 	 4.34436250 	 0.02980539 	 0.18720485 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01073140 	 0.00000000 	 0.40224344 	 28.65565800 	 5.08326020 	 1.15664657 	 -0.30684632 	 -0.73658430 	 0.54658800 	 2.38381000
1772 	 0.00400000 	 0.03736807 	 4.82537180 	 0.03472969 	 0.20509208 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01072725 	 0.00000000 	 0.46098045 	 32.59326400 	 5.78343460 	 1.17821388 	 -0.28504149 	 -0.53677800 	 0.55159100 	 2.40139100
1773 	 0.00400000 	 0.04270637 	 5.30809380 	 0.03965430 	 0.22307312 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01072310 	 0.00000000 	 0.51977597 	 36.53677800 	 6.48464510 	 1.19927950 	 -0.26314000 	 -0.33655200 	 0.55659000 	 2.41895500
1774 	 0.00400000 	 0.04804467 	 5.79258160 	 0.04457923 	 0.24115088 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01071894 	 0.00000000 	 0.57863182 	 40.48638200 	 7.18692380 	 1.21985236 	 -0.24114099 	 -0.13589380 	 0.56158700 	 2.43650200
1775 	 0.00400000 	 0.05338296 	 6.27888960 	 0.04950448 	 0.25932835 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01071477 	 0.00000000 	 0.63754986 	 44.44226500 	 7.89030370 	 1.23994126 	 -0.21903949 	 0.06520840 	 0.56658000 	 2.45403300
1776 	 0.00400000 	 0.05872126 	 6.76707430 	 0.05443006 	 0.27760862 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01071059 	 0.00000000 	 0.69653200 	 48.40462000 	 8.59481880 	 1.25955526 	 -0.19771347 	 0.26556690 	 0.57245000 	 2.47274900
1777 	 0.00400000 	 0.06405956 	 7.25719370 	 0.05935599 	 0.29599487 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01070641 	 0.00000000 	 0.75558025 	 52.37364900 	 9.30050440 	 1.27870309 	 -0.17539979 	 0.46759920 	 0.57743700 	 2.49024600
1778 	 0.00400000 	 0.06939785 	 7.74930760 	 0.06428227 	 0.31449037 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 157.26700000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.00000000 	 0.01070222 	 0.00000000 	 0.81469663 	 56.34955700 	 10.00739700 	 1.29739361 	 -0.15297420 	 0.67011860 	 0.58242000 	 2.50772500
