Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	No data	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126	ssp126
2149	411.48500824	978.313878377	361.106984456	22.1200553576	132.37097168	16.0458097458	8.03930997849	7.90778998534	5.01186037064	0.793165345987	0.0	0.00542998961949	0.382265090942	0.0	0.0369784996534	0.00229076045798	0.775399992863	0.00690780995258	30.0536985397	10.1861859957	31.9588023822	0.372403065364	18.0069999695	0.876985048254	0.0	0.00864559963035	5.95464996497	0.408015002807	106.228999456	18.6563005447
2150	411.10900116	977.397862752	361.196980794	21.7027564049	131.030971527	15.8679097493	7.99543007215	7.89274001122	5.01270031929	0.762632330259	0.0	0.00494684779551	0.378828095893	0.0	0.0355778997764	0.00215010046183	0.764382998149	0.0066597800081	29.812798659	10.1021858056	31.7351026535	0.367783064644	17.919500192	0.869307036201	0.0	0.00856688952384	5.95432003339	0.407908000052	106.269001007	18.6752003034
2151	410.749003092	976.47887675	361.285980225	21.2930571238	129.705977122	15.6921096643	7.9517900149	7.87773001194	5.01353045305	0.733275329073	0.0	0.00450683625725	0.375402092934	0.0	0.0342548992485	0.00201808042281	0.753523990512	0.00642066999959	29.57269907	10.0180857182	31.5119024913	0.36324206243	17.832499822	0.861620038748	0.0	0.00848940969445	5.95399002234	0.407802003125	106.309000015	18.6938004494
2152	410.402005514	975.557866414	361.37197876	20.8908576965	128.393974304	15.5182096163	7.90840005875	7.86275005341	5.01435049375	0.705051312844	0.0	0.00410608477735	0.371987091998	0.0	0.0330045996234	0.00189417038928	0.742822006345	0.00619016999068	29.3333991369	9.9337553978	31.2891023954	0.358776065211	17.746000131	0.853921030958	0.0	0.00841305971456	5.95366001129	0.40769500037	106.348000209	18.7122001648
2153	410.06300354	974.633875529	361.455978394	20.496158282	127.09597524	15.3462092876	7.86524999142	7.84779004256	5.01516040166	0.677915299932	0.0	0.00374109344557	0.368580092986	0.0	0.0318203996867	0.00177788038854	0.732272992531	0.00596795995565	29.0946990649	9.84934528669	31.0668026606	0.354384064674	17.6598998706	0.846211036046	0.0	0.00833635955739	5.95331998666	0.407588000099	106.387000402	18.7304002444
2154	409.734003703	973.707870483	361.538983663	20.1086594264	125.810976028	15.1762092908	7.82234009107	7.83286992709	5.01595040162	0.651825293899	0.0	0.00340865228403	0.365180087586	0.0	0.0307005994643	0.00166873036263	0.72187499702	0.00575375002033	28.8567989667	9.7647951444	30.8449025154	0.350063063204	17.5742999713	0.838492030899	0.0	0.00825932971202	5.9529800415	0.407479003072	106.425999959	18.7483003934
2155	409.413004557	972.778869629	361.618982951	19.7282600403	124.538976034	15.0081093311	7.77967003981	7.81796995799	5.01674040159	0.626741280158	0.0	0.0031058411502	0.361786089838	0.0	0.0296411995466	0.00156629034124	0.711626996597	0.00554723001551	28.6194988887	9.68010481199	30.6234024366	0.345811061561	17.4890000025	0.830765033762	0.0	0.00818338974689	5.95264001687	0.407370999455	106.464000702	18.765900294
2156	409.102007548	971.845865885	361.696980794	19.3549609184	123.279977163	14.8419091702	7.73723995686	7.80311000347	5.01751041412	0.602623278896	0.0	0.00283002015203	0.358394088844	0.0	0.0286363996565	0.0014701403076	0.701526001096	0.0053481500363	28.3828989665	9.59528470039	30.4023024241	0.341625064611	17.404299895	0.823028028011	0.0	0.00810845972349	5.95229999224	0.407262995839	106.502000173	18.7833007177
2157	408.799003601	970.910863241	361.77398173	18.9885616302	122.033978144	14.6775092284	7.69503994783	7.78826995691	5.0182804664	0.579435254137	0.0	0.00257876926723	0.355007087191	0.0	0.0276826995735	0.00137990029179	0.691569993893	0.00515621997571	28.1467992465	9.5103345712	30.181602478	0.337504059076	17.3199998538	0.815281038483	0.0	0.00803305969263	5.95194995403	0.407155002157	106.538999557	18.8005003929
2158	408.506006877	969.971867879	361.848981222	18.628862222	120.79997762	14.5150087674	7.65307998657	7.7734700044	5.01904042562	0.557141249379	0.0	0.00234989843254	0.351623090605	0.0	0.0267793995639	0.00129520026773	0.681756009658	0.00497118992886	27.9112989108	9.42526427905	29.9612021446	0.333445059756	17.23609972	0.807523036997	0.0	0.00795722962357	5.95160996914	0.407046002646	106.576000214	18.8173001607
