Year,USA (New York),Africa_Eastern (Nairobi),Africa_Northern (Cairo),Africa_Southern (Johannesburg),Africa_Western (Lagos),Australia_NZ (Sydney),Brazil (São Paulo),Canada (Toronto),Central_America_Caribbean (Mexico City),Central_Asia (Almaty),China (Shanghai),EU_12 (Warsaw),EU_15 (Paris),Europe_Eastern (Kiev),Europe_Non_EU (Belgrade),European_Free_Trade (Oslo),India (Mumbai),Indonesia (Jakarta),Japan (Tokyo),Mexico (Guadalajara),Middle_East (Riyadh),Pakistan (Karachi),Russia (Moscow),South_Africa (Cape Town),South_America_Northern (Bogotá),South_America_Southern (Buenos Aires),South_Asia (Dhaka),South_Korea (Seoul),Southeast_Asia (Bangkok),Taiwan (Taipei),Argentina (Córdoba),Colombia (Medellín)
2030,745.1753351364541,784.9832542707932,1730.2429811117488,603.504584064325,3226.0012081844084,305.60704138435773,844.1816248873588,629.3874407602012,4.197415493655873,39.70740350172121,1317.9823594322665,162.28254266297805,206.58259623860303,316.1341567223849,593.826261769903,0.0,3164.9623173387704,3565.224837879695,1072.2437238310847,698.8935407862245,2728.479924846895,3075.931035345949,100.00368836256763,348.20174434271655,526.1183466791643,1175.4803022894903,3305.72955436636,638.6600708160616,3068.572133220109,1849.298832650873,1418.4680094352295,1079.7359287470385
2031,790.1897688388664,815.9697270258747,1746.2248991866286,609.931513969384,3263.287743107236,318.441821784296,867.2230781622796,694.7158843051095,7.0054942638912925,107.62040926766207,1324.355386831842,195.7360079695075,267.7242980692525,371.47374647249086,709.8652261499676,0.0,3223.4385769917876,3590.6642643623345,1136.4948313513512,697.4375072060966,2848.463036757737,3131.9767180922645,154.52613388512125,363.1209282020057,574.9589398156186,1194.776189278474,3347.238880809369,673.5446393034432,3126.7409520043675,1864.9007770359228,1432.184632163769,1125.7449662607792
2032,710.5042613008477,797.2966825856365,1845.4833783513584,623.4067190382123,3258.2361582686653,320.7029422469746,831.938957326636,581.784558138716,13.636907447753359,152.4263061658199,1300.6568737296782,265.6936741629022,294.5295372744121,492.124225829779,755.7762979293567,0.0,3199.201755633292,3573.5116183171863,1091.1096649647905,711.06457451914,2892.8464714974834,3120.51750876427,235.77519196705327,355.3428020647351,550.8276372581703,1211.7934498557506,3330.663268134118,700.9342726276669,3091.1265810620184,1811.3409507761162,1460.2981624169486,1129.1888698018881
2033,786.0515672820788,814.5145055377027,1813.6367707308125,623.1854415823566,3249.4741606492776,326.88772786357447,866.8524984698965,693.8846618601265,8.287763699132839,90.8866539541492,1399.3106909481996,235.99657927142002,335.27040392036105,422.4023980699786,733.4107001823306,8.057753523129476,3200.270160373043,3581.7840734503857,1167.8204715240906,713.222201207541,2804.9426670009057,3089.9832101612215,218.3932977306784,348.47401811285954,536.3064717997916,1211.3122573878213,3375.330938621263,738.5252902087618,3118.7888542684896,1889.5756479050576,1457.9466489113197,1122.619597215786
2034,776.7532618068035,827.7572972630093,1812.3497709573282,627.4870008949207,3272.007613647461,299.56391535727005,857.2992825648419,677.2805892732575,6.317669373283955,97.61269885371179,1403.5250613133485,222.49764199851538,287.31550806926964,384.7966449503133,726.8122763761673,0.8203666784046934,3234.404161603162,3594.4766760499037,1153.140468938197,717.6800937854565,2868.930039561161,3120.8265110220123,174.4039038674095,351.2292888716392,567.106931052016,1244.1630721748643,3349.6123148436786,745.9035649382863,3120.754321576168,1886.7556552631438,1507.0959433665555,1138.5118320218785
2035,782.1875316095743,854.4258611604587,1861.1974768606083,664.3392622302166,3312.9121475509423,351.0875262647363,936.4323475969322,662.4432054571043,8.391069375757116,115.07115281206228,1375.8720275528815,356.3994665603734,308.13560255788633,517.5313893145541,788.5536123383076,0.869288539651098,3260.8405276702347,3632.6458765991792,1133.4902393656612,755.7399701102408,2882.5854324856405,3184.9180738296595,256.6721908830492,363.4196892386017,606.1711634259965,1242.2779842184843,3455.566937551526,665.7960422503184,3158.200314757398,1901.4557012270468,1492.313266885747,1172.2511530652887
2036,731.6370873921791,898.5941474291192,1929.2232734379884,689.4893437817068,3312.212689688556,334.4424833281821,901.8887117425332,616.8661841049122,11.919199552478554,99.30900388383785,1437.432807795877,337.8751497284166,316.6592575125835,476.3887355676705,804.2344993520144,15.459384583461425,3256.7559876750033,3633.9428805329085,1186.2436923753858,762.5922991191405,2967.193747870921,3207.230666858029,229.99392291542037,384.3274046493747,604.3755394321494,1286.000409424835,3431.612906828465,737.1978113403995,3154.8505212929795,1923.3294654271137,1528.325212457556,1172.55995575735
2037,806.0759665956965,873.106080656432,1839.883924730598,662.7571275191063,3321.581930674397,336.0189028583707,889.9311664629677,699.2472320952,16.27432663863372,169.0686882428967,1391.9068058202702,316.93567190570053,278.9018212035927,526.0289323963866,803.5694652844427,0.0,3274.2989872673284,3621.6430800562057,1175.4211339538244,761.3712945586356,2937.2948522378997,3214.1528881246522,159.6790529674371,395.38588115354776,618.2952182115877,1184.4143771453118,3392.982448036569,737.9466307096803,3138.4797117354615,1880.6112589257514,1440.844029016825,1185.0125000603334
2038,808.2803066100469,858.155631291369,1858.6201816111502,655.5928002430666,3311.6298161134046,317.3423445892333,882.8775783687593,660.1787010536901,18.848812544715862,133.566631007384,1435.0510961062218,271.9528148672682,362.3619659678868,436.6884366275483,721.9387092078028,2.965504305707777,3264.7437527386323,3627.1077347355804,1221.4930885356928,769.8692556206729,2929.000005252702,3179.8194374293344,188.83153984343542,365.01971283293994,604.684626919228,1305.1438212282128,3348.299340607407,809.9716447364165,3171.938719150815,1893.416480675576,1555.76904632192,1171.1909641486777
2039,783.087613817927,893.1136333179469,1899.907060682886,676.605182605899,3356.055710215954,354.48602320847715,930.0198391602315,675.2440287438785,17.46087125889082,162.57720255829733,1421.4495773719136,282.79163991284037,286.83544685084934,455.9223296063595,775.3022635571333,0.0,3300.6827163965027,3685.96728437122,1180.5488038589094,796.7471278879067,2977.569774325278,3257.966917631865,168.45654828402203,370.40225790922744,629.0032797840099,1294.3017859762786,3539.3040160310948,769.5097752416114,3232.577178012881,1918.79523207342,1540.006777638647,1230.2544143272378
2040,848.281136622634,910.973296039768,1970.5908117026809,662.7721134952254,3360.709281435972,338.03163414741937,930.2680158667646,783.0456668428195,12.14464503559812,162.17230967581725,1465.4083122030006,301.47818988453815,328.66342909334264,548.5352316381316,799.2412118124314,15.830747005756002,3329.0057553478546,3674.9696120825356,1221.3054318886052,794.1508472296097,3049.830266102613,3271.6725145001915,270.2906099554312,350.6033013707752,645.8061045062182,1292.9443167737534,3537.2827309980034,802.5644526681593,3206.8711848055286,1980.241119123249,1532.5287780988767,1208.371906145638
